,size,density,Run,half_time,percolation_system,segregation_coefficient,stopping_step,pop_weights,fixed_areas_pc,cluster_threshold,alpha,homophily,stopping_threshold,stats,server
46,30,0.95,46,1.7291532503983555,True,0.5894020061728396,21,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
47,30,0.95,47,1.0,True,0.6713365912208504,29,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
48,30,0.95,48,1.0,True,0.7497959533607681,27,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
49,30,0.95,49,1.0,True,0.5958736282578875,31,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
50,50,0.7,50,1.0,False,0.04626333333333333,33,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
51,50,0.7,51,1.0,False,0.1015037222222222,32,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
52,50,0.7,52,1.0,False,0.08420677777777778,23,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
53,50,0.7,53,1.0,False,0.04866444444444444,23,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
54,50,0.7,54,1.3832782464375895,False,0.058998499999999995,39,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
55,50,0.7625,55,1.0,False,0.18916255555555556,48,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
56,50,0.7625,56,1.2766633031385037,False,0.13833594444444444,31,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
57,50,0.7625,57,1.0,False,0.16418794444444443,29,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
58,50,0.7625,58,1.0,False,0.12387155555555555,20,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
59,50,0.7625,59,1.0,False,0.16639155555555554,29,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
60,50,0.825,60,1.0,True,0.23786777777777776,41,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
61,50,0.825,61,1.0,True,0.21134655555555554,23,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
62,50,0.825,62,1.0,False,0.15230988888888888,29,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
63,50,0.825,63,1.0,False,0.24125372222222222,30,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
64,50,0.825,64,1.0,False,0.1565415,25,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
65,50,0.8875,65,1.2407156400762651,True,0.31469505555555555,29,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
66,50,0.8875,66,1.091688209976669,True,0.4072192777777778,35,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
67,50,0.8875,67,1.0,True,0.46068177777777775,29,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
68,50,0.8875,68,1.0,True,0.4660745,29,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
69,50,0.8875,69,1.0,True,0.4761587222222222,35,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
70,50,0.95,70,1.1996054380093062,True,0.6211375,46,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
71,50,0.95,71,1.0,True,0.5891230555555556,27,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
72,50,0.95,72,1.0631195574038308,True,0.6363296111111111,34,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
73,50,0.95,73,1.0314235445383038,True,0.6068717222222222,28,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
74,50,0.95,74,1.73943519678215,True,0.7046264999999999,49,"(0.6, 0.4)",0.0,4,0.96,5,5,True,False
