,alpha,homophily,Run,half_time,percolation_system,segregation_coefficient,stopping_step,total_avg_cluster_size,size,density,pop_weights,fixed_areas_pc,cluster_threshold,stopping_threshold,stats,server
40,0.8285714285714286,1,40,1.0,True,0.18727213541666668,8,16.113333333333333,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
41,0.8285714285714286,2,41,1.0,False,0.12945963541666666,10,15.97076923076923,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
42,0.8285714285714286,3,42,1.0,True,0.2568012152777778,11,25.333333333333332,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
43,0.8285714285714286,4,43,1.0,True,0.6111349826388889,18,152.5,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
44,0.8285714285714286,5,44,1.0,True,0.73986328125,27,176.2,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
45,0.8285714285714286,6,45,1.0,True,0.46125217013888886,24,84.73333333333332,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
46,0.8285714285714286,7,46,1.0,False,0.14040364583333334,10,17.42666666666667,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
47,0.8285714285714286,8,47,1.0,False,0.11646050347222223,6,20.383333333333333,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
48,0.9142857142857143,1,48,1.0,False,0.08179904513888889,7,12.450476190476191,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
49,0.9142857142857143,2,49,1.0,False,0.18714843750000001,10,21.166666666666664,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
50,0.9142857142857143,3,50,1.0,True,0.5682421875,13,150.68888888888887,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
51,0.9142857142857143,4,51,1.0,True,0.539609375,15,146.1,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
52,0.9142857142857143,5,52,1.0,True,0.7168250868055556,29,99.6,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
53,0.9142857142857143,6,53,1.0,True,0.7089865451388889,20,97.7,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
54,0.9142857142857143,7,54,1.0,False,0.12389539930555556,10,14.836363636363636,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
55,0.9142857142857143,8,55,1.0,True,0.14054470486111112,8,19.314285714285713,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
56,1.0,1,56,1.6797945122290494,True,0.4448068576388889,7,73.66153846153846,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
57,1.0,2,57,1.226321936999225,True,0.12677300347222223,9,19.616666666666667,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
58,1.0,3,58,1.0,True,0.4397309027777778,14,52.9,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
59,1.0,4,59,2.6011791819589467,True,0.5894227430555555,18,149.26666666666665,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
60,1.0,5,60,1.579483440090832,True,0.6605034722222223,23,150.26666666666668,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
61,1.0,6,61,1.0,True,0.4092881944444445,17,56.040000000000006,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
62,1.0,7,62,1.0,False,0.12404079861111111,13,15.385714285714284,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
63,1.0,8,63,1.0,True,0.18489149305555555,7,35.445454545454545,20,0.97,"(0.6, 0.4)",0.0,4,5,True,False
