,alpha,density,Run,half_time,percolation_system,segregation_coefficient,stopping_step,total_avg_cluster_size,size,pop_weights,homophily,fixed_areas_pc,cluster_threshold,stopping_threshold,stats,server
41,0.95,0.9299999999999999,41,1.0,True,0.6071235555555555,31,228.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
42,0.95,0.9299999999999999,42,1.0,True,0.7170097777777777,47,197.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
43,0.95,0.9299999999999999,43,1.0,True,0.7211484444444445,24,135.26666666666668,25,"(0.6, 0.4)",5,0.0,4,5,True,False
44,0.95,0.9299999999999999,44,1.0,True,0.6934782222222222,23,228.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
45,0.95,0.94,45,1.0,True,0.526952,20,149.3,25,"(0.6, 0.4)",5,0.0,4,5,True,False
46,0.95,0.94,46,1.0,True,0.606296,16,233.89999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
47,0.95,0.94,47,1.0,True,0.5378711111111111,13,129.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
48,0.95,0.94,48,1.0,True,0.5282382222222223,24,226.46666666666664,25,"(0.6, 0.4)",5,0.0,4,5,True,False
49,0.95,0.94,49,1.248799027215161,True,0.6695022222222222,28,240.86666666666665,25,"(0.6, 0.4)",5,0.0,4,5,True,False
50,0.95,0.95,50,1.0,True,0.7326275555555555,17,247.26666666666665,25,"(0.6, 0.4)",5,0.0,4,5,True,False
51,0.95,0.95,51,1.0,True,0.5709128888888889,33,232.07999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
52,0.95,0.95,52,1.0,True,0.7300622222222222,19,270.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
53,0.95,0.95,53,1.0,True,0.6137928888888888,24,240.26666666666665,25,"(0.6, 0.4)",5,0.0,4,5,True,False
54,0.95,0.95,54,1.0,True,0.8069591111111112,23,172.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
55,0.95,0.96,55,1.0,True,0.722576,36,245.66666666666666,25,"(0.6, 0.4)",5,0.0,4,5,True,False
56,0.95,0.96,56,1.0,True,0.69828,22,235.26666666666668,25,"(0.6, 0.4)",5,0.0,4,5,True,False
57,0.95,0.96,57,1.0,True,0.7395724444444445,17,138.93333333333334,25,"(0.6, 0.4)",5,0.0,4,5,True,False
58,0.95,0.96,58,1.0,True,0.615032,27,242.1,25,"(0.6, 0.4)",5,0.0,4,5,True,False
59,0.95,0.96,59,1.0,True,0.6134462222222222,37,236.1,25,"(0.6, 0.4)",5,0.0,4,5,True,False
60,0.95,0.97,60,1.0,True,0.6916675555555556,17,241.53333333333333,25,"(0.6, 0.4)",5,0.0,4,5,True,False
61,0.95,0.97,61,1.649305510165283,True,0.7995955555555555,29,236.5,25,"(0.6, 0.4)",5,0.0,4,5,True,False
62,0.95,0.97,62,1.0,True,0.6178577777777777,14,137.29999999999998,25,"(0.6, 0.4)",5,0.0,4,5,True,False
63,0.95,0.97,63,4.465640651207782,True,0.791624,39,259.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
64,0.95,0.97,64,1.0,True,0.9861439999999999,24,308.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
65,0.95,0.98,65,1.0,True,0.6763235555555556,22,241.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
66,0.95,0.98,66,1.0,True,0.6855128888888888,43,249.13333333333333,25,"(0.6, 0.4)",5,0.0,4,5,True,False
67,0.95,0.98,67,1.3153063348037404,True,0.7382799999999999,34,271.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
68,0.95,0.98,68,1.0,True,0.7916302222222222,25,106.0,25,"(0.6, 0.4)",5,0.0,4,5,True,False
69,0.95,0.98,69,1.0,True,0.7833680000000001,35,269.2,25,"(0.6, 0.4)",5,0.0,4,5,True,False
70,0.95,0.99,70,1.2174131168806097,True,0.6650648888888889,22,252.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
71,0.95,0.99,71,1.3756411882149242,True,0.7432248888888889,50,276.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
72,0.95,0.99,72,1.0,True,0.6646000000000001,23,249.7,25,"(0.6, 0.4)",5,0.0,4,5,True,False
73,0.95,0.99,73,1.8262859495753996,True,0.76776,30,258.4,25,"(0.6, 0.4)",5,0.0,4,5,True,False
74,0.95,0.99,74,1.1458407898309528,True,0.7232008888888888,31,253.5,25,"(0.6, 0.4)",5,0.0,4,5,True,False
75,0.96,0.85,75,1.0,True,0.4558764444444444,25,136.6,25,"(0.6, 0.4)",5,0.0,4,5,True,False
76,0.96,0.85,76,1.2039717106028882,False,0.28500355555555557,21,56.13333333333333,25,"(0.6, 0.4)",5,0.0,4,5,True,False
77,0.96,0.85,77,1.055955083231797,True,0.26370666666666664,13,30.880000000000003,25,"(0.6, 0.4)",5,0.0,4,5,True,False
78,0.96,0.85,78,1.0,True,0.5157591111111111,27,106.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
79,0.96,0.85,79,1.2500717863168653,True,0.4146328888888889,33,72.68,25,"(0.6, 0.4)",5,0.0,4,5,True,False
80,0.96,0.86,80,1.0,True,0.3017066666666667,21,55.9,25,"(0.6, 0.4)",5,0.0,4,5,True,False
81,0.96,0.86,81,1.0,True,0.4270408888888889,30,110.8,25,"(0.6, 0.4)",5,0.0,4,5,True,False
