,homophily,pop_weights,Run,total_avg_cluster_size,height,width,density,fixed_areas_pc
42,6,"(0.25, 0.25, 0.25, 0.25)",42,1.9193666008753734,100,100,0.97,0.0
43,6,"(0.2, 0.2, 0.2, 0.2, 0.2)",43,1.6383039251919649,100,100,0.97,0.0
44,6,"(0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666)",44,1.486091485538913,100,100,0.97,0.0
45,6,"(0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285)",45,1.400027060822964,100,100,0.97,0.0
46,6,"(0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125)",46,1.333740603074107,100,100,0.97,0.0
47,6,"(0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111)",47,1.279669783176624,100,100,0.97,0.0
48,7,"(0.5, 0.5)",48,7.761050112277054,100,100,0.97,0.0
49,7,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",49,2.658388734429698,100,100,0.97,0.0
50,7,"(0.25, 0.25, 0.25, 0.25)",50,1.9387322440646595,100,100,0.97,0.0
51,7,"(0.2, 0.2, 0.2, 0.2, 0.2)",51,1.6633127244808865,100,100,0.97,0.0
52,7,"(0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666)",52,1.5019570934261548,100,100,0.97,0.0
53,7,"(0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285)",53,1.4049616052653329,100,100,0.97,0.0
54,7,"(0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125)",54,1.3317425149121078,100,100,0.97,0.0
55,7,"(0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111)",55,1.2695446124936036,100,100,0.97,0.0
56,8,"(0.5, 0.5)",56,7.7212030026155265,100,100,0.97,0.0
57,8,"(0.3333333333333333, 0.3333333333333333, 0.3333333333333333)",57,2.6938809230984595,100,100,0.97,0.0
58,8,"(0.25, 0.25, 0.25, 0.25)",58,1.9463524958374354,100,100,0.97,0.0
59,8,"(0.2, 0.2, 0.2, 0.2, 0.2)",59,1.638199589426862,100,100,0.97,0.0
60,8,"(0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666)",60,1.4805307929563505,100,100,0.97,0.0
61,8,"(0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285, 0.14285714285714285)",61,1.3875346725827975,100,100,0.97,0.0
62,8,"(0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125)",62,1.340238931271919,100,100,0.97,0.0
63,8,"(0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111)",63,1.2910666348992084,100,100,0.97,0.0
